Año,Mes,Mes_Num,Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas_Trabajo_Cliente,Cluster,Tiempo_Desplazamiento_Dia_min,Detalle_Desplazamientos_min,Horas_Trabajo_Total_Dia,Jornada_Total_Horas,Secuencia_Ruta_Dia
2025,January,1,2,Miércoles,08/01/2025,50,Fuenmayor,42.46763096774849,-2.555735355173662,2.0,2,80.7,"Empresa (Ollauri, La Rioja) -> Fuenmayor: 23.3 min | Fuenmayor -> Sotes: 14.0 min | Sotes -> Najera: 17.6 min | Najera -> Empresa (Ollauri, La Rioja): 25.8 min",5.5,6.845,"Empresa (Ollauri, La Rioja) ➔ Fuenmayor ➔ Sotes ➔ Najera ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Miércoles,08/01/2025,21,Sotes,42.39728023698068,-2.6042157809448154,1.5,2,80.7,"Empresa (Ollauri, La Rioja) -> Fuenmayor: 23.3 min | Fuenmayor -> Sotes: 14.0 min | Sotes -> Najera: 17.6 min | Najera -> Empresa (Ollauri, La Rioja): 25.8 min",5.5,6.845,"Empresa (Ollauri, La Rioja) ➔ Fuenmayor ➔ Sotes ➔ Najera ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Jueves,09/01/2025,22,Nalda,42.33454755287178,-2.4836896934940373,1.5,2,145.9,"Empresa (Ollauri, La Rioja) -> Logroño: 33.0 min | Logroño -> Nalda: 17.2 min | Nalda -> Nieva: 26.0 min | Nieva -> El Rasillo: 8.1 min | El Rasillo -> Empresa (Ollauri, La Rioja): 61.6 min",4.75,7.181666666666667,"Empresa (Ollauri, La Rioja) ➔ Logroño ➔ Nalda ➔ Nieva ➔ El Rasillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Jueves,09/01/2025,26,Nieva,42.21901538839893,-2.6669882496729835,1.5,2,145.9,"Empresa (Ollauri, La Rioja) -> Logroño: 33.0 min | Logroño -> Nalda: 17.2 min | Nalda -> Nieva: 26.0 min | Nieva -> El Rasillo: 8.1 min | El Rasillo -> Empresa (Ollauri, La Rioja): 61.6 min",4.75,7.181666666666667,"Empresa (Ollauri, La Rioja) ➔ Logroño ➔ Nalda ➔ Nieva ➔ El Rasillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Jueves,09/01/2025,9,Logroño,42.45013177767869,-2.4478865559684446,1.0,2,145.9,"Empresa (Ollauri, La Rioja) -> Logroño: 33.0 min | Logroño -> Nalda: 17.2 min | Nalda -> Nieva: 26.0 min | Nieva -> El Rasillo: 8.1 min | El Rasillo -> Empresa (Ollauri, La Rioja): 61.6 min",4.75,7.181666666666667,"Empresa (Ollauri, La Rioja) ➔ Logroño ➔ Nalda ➔ Nieva ➔ El Rasillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Jueves,09/01/2025,25,El Rasillo,42.19476099225876,-2.7015883235318703,0.75,2,145.9,"Empresa (Ollauri, La Rioja) -> Logroño: 33.0 min | Logroño -> Nalda: 17.2 min | Nalda -> Nieva: 26.0 min | Nieva -> El Rasillo: 8.1 min | El Rasillo -> Empresa (Ollauri, La Rioja): 61.6 min",4.75,7.181666666666667,"Empresa (Ollauri, La Rioja) ➔ Logroño ➔ Nalda ➔ Nieva ➔ El Rasillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Viernes,10/01/2025,29,Laguardia,42.54642310684659,-2.5766050847639863,0.75,2,135.3,"Empresa (Ollauri, La Rioja) -> Laguardia: 31.3 min | Laguardia -> Vitoria: 48.6 min | Vitoria -> Vitoria: 0.0 min | Vitoria -> Durana: 14.5 min | Durana -> Empresa (Ollauri, La Rioja): 40.9 min",5.25,7.505000000000001,"Empresa (Ollauri, La Rioja) ➔ Laguardia ➔ Vitoria ➔ Vitoria ➔ Durana ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Viernes,10/01/2025,32,Vitoria,42.83850032905385,-2.7097929385014563,3.0,3,135.3,"Empresa (Ollauri, La Rioja) -> Laguardia: 31.3 min | Laguardia -> Vitoria: 48.6 min | Vitoria -> Vitoria: 0.0 min | Vitoria -> Durana: 14.5 min | Durana -> Empresa (Ollauri, La Rioja): 40.9 min",5.25,7.505000000000001,"Empresa (Ollauri, La Rioja) ➔ Laguardia ➔ Vitoria ➔ Vitoria ➔ Durana ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Viernes,10/01/2025,40,Vitoria,42.84559898403419,-2.640015287006884,1.0,3,135.3,"Empresa (Ollauri, La Rioja) -> Laguardia: 31.3 min | Laguardia -> Vitoria: 48.6 min | Vitoria -> Vitoria: 0.0 min | Vitoria -> Durana: 14.5 min | Durana -> Empresa (Ollauri, La Rioja): 40.9 min",5.25,7.505000000000001,"Empresa (Ollauri, La Rioja) ➔ Laguardia ➔ Vitoria ➔ Vitoria ➔ Durana ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Viernes,10/01/2025,4,Durana,42.88702626937825,-2.639513912965261,0.5,3,135.3,"Empresa (Ollauri, La Rioja) -> Laguardia: 31.3 min | Laguardia -> Vitoria: 48.6 min | Vitoria -> Vitoria: 0.0 min | Vitoria -> Durana: 14.5 min | Durana -> Empresa (Ollauri, La Rioja): 40.9 min",5.25,7.505000000000001,"Empresa (Ollauri, La Rioja) ➔ Laguardia ➔ Vitoria ➔ Vitoria ➔ Durana ➔ Empresa (Ollauri, La Rioja)"
